제품명,브랜드,AI여부,CPU브랜드,CPU등급,그래픽,RAM(GB),배터리용량,무게(kg),화면크기(인치),가격,리뷰수,용도,용도_게임용,용도_그래픽작업용,용도_사무,용도_휴대용,has_rating,별점,외장그래픽,등록일,등록_경과월,Cluster,OS_프리도스,OS_윈도우11,OS_macOS
LG전자 2026 그램 프로16 16Z90U-KU7WK,LG전자,1,인텔,7,내장,32.0,77.0,1.19,16.0,3199000,102,사무,0,0,1,0,1,4.9,0,26.01.,2,4,0,1,0
LG전자 2025 그램 프로16 16Z90TS-GU7WK,LG전자,1,인텔,7,내장,32.0,77.0,1.199,16.0,2489990,148,사무,0,0,1,0,1,4.9,0,25.03.,12,4,0,1,0
HP 오멘 16-ap0117AX,HP,0,AMD,9,외장,32.0,83.0,2.35,16.0,2399000,31,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,25.06.,9,3,1,0,0
에이서 프레데터 헬리오스 네오 16 AI PHN16-73-9797,에이서,1,인텔,9,외장,32.0,90.0,2.45,16.0,2893000,7,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.07.,8,5,1,0,0
레노버 LEGION 5 15IRX10 i7 5060,레노버,0,인텔,7,외장,16.0,80.0,1.9,15.1,1969000,43,"게임용 , 그래픽작업용",1,1,0,0,1,4.6,1,25.08.,7,3,1,0,0
에이서 프레데터 헬리오스 네오 16 AI PHN16-73-97AB,에이서,1,인텔,9,외장,32.0,90.0,2.45,16.0,3050780,15,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,25.07.,8,0,0,1,0
LG전자 2026 그램 프로16 16Z95U-GU7WK,LG전자,1,AMD,7,내장,32.0,77.0,1.19,16.0,2908810,56,사무,0,0,1,0,1,5.0,0,26.01.,2,4,0,1,0
ASUS TUF Gaming A14 FA401KM-RG006,ASUS,1,AMD,7,외장,32.0,73.0,1.46,14.0,2199000,5,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,1,4.6,1,25.07.,8,5,1,0,0
ASUS TUF Gaming F16 FX608JMR-QT040 WIN11 32GB램,ASUS,0,인텔,7,외장,32.0,90.0,2.2,16.0,2270000,7,"게임용 , 그래픽작업용",1,1,0,0,1,4.4,1,25.06.,9,2,0,1,0
MSI 소드 GF76 HX B14WFK-i7 QHD,MSI,0,인텔,7,외장,16.0,75.0,2.7,17.3,1835990,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,25.06.,9,3,1,0,0
레노버 LEGION Pro 5 16IAX10H U9 5070Ti Plus,레노버,1,인텔,9,외장,32.0,80.0,2.42,16.0,3190000,12,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,25.06.,9,5,1,0,0
HP 오멘 슬림 16-an0023TX,HP,1,인텔,7,외장,24.0,70.0,2.42,16.0,2008000,7,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,25.10.,5,5,1,0,0
HP 오멘 16-ap0118AX,HP,0,AMD,9,외장,32.0,83.0,2.35,16.0,2199000,3,"게임용 , 그래픽작업용",1,1,0,0,1,4.6,1,25.06.,9,2,0,1,0
레노버 LEGION 5i 15IRX9 i7 4060,레노버,0,인텔,7,외장,24.0,60.0,2.3,15.6,1549000,241,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,24.08.,19,3,1,0,0
ASUS ProArt GoPro Edition PX13 HN7306EAC-LX057W,ASUS,1,AMD,9,내장,128.0,73.0,1.38,13.3,4699000,0,사무,0,0,1,0,0,0.0,0,26.02.,1,1,0,1,0
